"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理","合計"
"売上高"
"","賃料収入","","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","330000","330000","0","3160000"
"","","安中原市","0","0","0","0","0","0","0","0","0","0","80000","80000","0","160000"
"","","ライオンズタワー広瀬","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","0","3000000"
"","売上高","","0","55000","55000","55000","55000","55000","55000","55000","55000","55000","55000","55000","55000","660000"
"売上高合計","","","250000","305000","305000","305000","305000","305000","305000","305000","305000","305000","385000","385000","55000","3820000"
"売上原価"
"売上原価合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上総利益","","","250000","305000","305000","305000","305000","305000","305000","305000","305000","305000","385000","385000","55000","3820000"
"販売費及び一般管理費"
"","役員報酬","","0","0","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","0","500000"
"","","榎本加奈恵","0","0","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","0","500000"
"","減価償却費","","0","0","0","0","0","0","0","0","0","0","0","0","1198411","1198411"
"","賃借料","","465000","345000","345000","361200","345000","139200","129600","14517","0","0","0","0","0","2144517"
"","消耗品費","","66600","3229","0","262","0","7848","1890","229618","170001","19378","0","0","-8829","489997"
"","","安中戸建て","0","0","0","0","0","0","0","229618","0","0","0","0","0","229618"
"","","補助科目なし","66600","3229","0","262","0","7848","1890","0","170001","19378","0","0","-8829","260379"
"","旅費交通費","","0","0","0","0","0","0","30140","0","0","0","0","880","0","31020"
"","租税公課","","0","600","1100","0","1500","495548","10000","54688","0","401803","6","4","0","965249"
"","","印紙代","0","0","0","0","0","24200","10000","0","0","0","0","0","0","34200"
"","","登録免許税","0","0","0","0","0","4436","0","54688","0","0","0","0","0","59124"
"","","不動産取得税","0","0","0","0","0","0","0","0","0","401800","0","0","0","401800"
"","","補助科目なし","0","600","1100","0","1500","466912","0","0","0","3","6","4","0","470125"
"","接待交際費","","0","32390","0","0","46500","38749","0","126255","0","5780","23190","0","0","272864"
"","保険料","","0","0","0","22000","0","0","0","0","-30960","0","0","51900","0","42940"
"","通信費","","9738","10641","15542","74150","21845","15890","16042","16174","55807","16055","15450","26909","0","294243"
"","諸会費","","0","0","0","0","0","0","0","0","41200","0","0","0","0","41200"
"","業務委託料","","0","0","600000","467313","0","0","0","0","0","0","0","0","0","1067313"
"","修繕費","","0","0","0","0","0","0","0","0","150000","0","0","0","0","150000"
"","新聞図書費","","0","0","0","0","0","0","0","0","0","2100","0","0","0","2100"
"","管理諸費","","0","0","0","0","0","0","31880","61703","0","0","0","0","0","93583"
"","支払手数料","","13345","13635","147280","13635","13490","196565","44258","231815","50395","49185","49295","43025","0","865923"
"","","辻本郷","11000","11000","143000","11000","11000","11000","11000","11000","11000","11000","11000","11000","0","264000"
"","","補助科目なし","2345","2635","4280","2635","2490","185565","33258","220815","39395","38185","38295","32025","0","601923"
"","雑費","","50000","0","0","0","0","0","0","0","0","0","0","0","0","50000"
"販売費及び一般管理費合計","","","604683","405495","1158922","988560","478335","943800","313810","784770","486443","544301","137941","172718","1189582","8209360"
"営業利益","","","-354683","-100495","-853922","-683560","-173335","-638800","-8810","-479770","-181443","-239301","247059","212282","-1134582","-4389360"
"営業外収益"
"","受取利息","","0","1","4","1","4","1","1","1","0","23","44","28","15","123"
"","雑収入","","0","0","145","0","0","0","0","0","1885","0","0","0","0","2030"
